checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
no checking account,4,delay in paying off in the past,radio/television,5117,unknown / no savings account,... < 1 year,1,female,none,4,unknown / no property,19,bank,own,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,married/widowed
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),1819,unknown / no savings account,1 <= ... < 4 years,2,female,none,4,real estate,19,none,rent,1,skilled employee / official,1,none,yes,1,single
no checking account,4,no credits taken / all credits paid back duly,radio/television,10798,500 <= ... < 1000 DM,... >= 7 years,2,male,none,2,real estate,29,none,own,1,unskilled - resident,2,none,yes,1,single
... >= 200 DM / salary assignments for at least 1 year,4,critical account / other credits existing (not at this bank),car (new),651,100 <= ... < 500 DM,... >= 7 years,4,male,none,3,real estate,33,none,own,1,skilled employee / official,2,none,yes,1,single
no checking account,8,existing credits paid back duly till now,radio/television,5608,... < 100 DM,4 <= ... < 7 years,1,female,co-applicant,4,real estate,19,none,own,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,13,existing credits paid back duly till now,furniture/equipment,3225,unknown / no savings account,... >= 7 years,4,male,none,2,"car or other, not in savings account",23,none,for free,1,skilled employee / official,2,none,yes,1,single
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,5494,... >= 1000 DM,... >= 7 years,4,female,none,3,real estate,22,none,own,1,skilled employee / official,2,none,no,1,single
no checking account,18,critical account / other credits existing (not at this bank),furniture/equipment,6995,unknown / no savings account,1 <= ... < 4 years,4,male,none,4,real estate,19,bank,own,1,unskilled - resident,1,none,yes,1,single
no checking account,26,no credits taken / all credits paid back duly,furniture/equipment,4690,... >= 1000 DM,1 <= ... < 4 years,2,male,none,2,unknown / no property,24,none,rent,4,skilled employee / official,2,"yes, registered under customer's name",yes,1,married/widowed
0 <= ... < 200 DM,9,critical account / other credits existing (not at this bank),car (new),2681,... >= 1000 DM,4 <= ... < 7 years,4,male,none,3,unknown / no property,34,stores,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
0 <= ... < 200 DM,26,existing credits paid back duly till now,car (new),6524,unknown / no savings account,1 <= ... < 4 years,2,male,none,2,building society savings agreement / life insurance,37,none,for free,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,17,critical account / other credits existing (not at this bank),furniture/equipment,6132,unknown / no savings account,4 <= ... < 7 years,4,male,none,4,"car or other, not in savings account",21,none,own,2,unskilled - resident,1,none,no,1,divorced/separated
no checking account,14,critical account / other credits existing (not at this bank),education,5961,... < 100 DM,... >= 7 years,3,male,none,3,real estate,21,bank,own,2,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,4,existing credits paid back duly till now,business,3386,unknown / no savings account,unemployed,1,male,co-applicant,2,"car or other, not in savings account",26,none,own,1,unskilled - resident,1,none,yes,2,divorced/separated
no checking account,15,existing credits paid back duly till now,furniture/equipment,1776,unknown / no savings account,... >= 7 years,3,male,none,4,real estate,23,stores,own,2,unskilled - resident,2,none,yes,1,single
0 <= ... < 200 DM,10,critical account / other credits existing (not at this bank),furniture/equipment,15048,unknown / no savings account,... >= 7 years,2,male,guarantor,2,"car or other, not in savings account",19,none,own,1,skilled employee / official,2,none,yes,1,single
... < 0 DM,15,critical account / other credits existing (not at this bank),others,2915,... < 100 DM,... >= 7 years,4,male,none,3,unknown / no property,24,bank,own,1,skilled employee / official,1,none,yes,1,single
no checking account,61,all credits at this bank paid back duly,furniture/equipment,4929,... >= 1000 DM,1 <= ... < 4 years,2,male,none,4,building society savings agreement / life insurance,46,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,10,critical account / other credits existing (not at this bank),car (new),3545,... < 100 DM,... < 1 year,4,male,none,4,"car or other, not in savings account",41,none,rent,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
no checking account,5,existing credits paid back duly till now,furniture/equipment,3762,... < 100 DM,... >= 7 years,2,male,none,3,"car or other, not in savings account",19,none,own,2,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,38,delay in paying off in the past,radio/television,1860,... < 100 DM,... >= 7 years,4,female,none,2,real estate,55,none,own,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
no checking account,7,critical account / other credits existing (not at this bank),repairs,748,... < 100 DM,... < 1 year,1,female,guarantor,2,building society savings agreement / life insurance,22,none,own,1,skilled employee / official,1,none,yes,2,single
0 <= ... < 200 DM,7,all credits at this bank paid back duly,radio/television,3444,... >= 1000 DM,1 <= ... < 4 years,4,male,none,1,"car or other, not in savings account",19,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,25,existing credits paid back duly till now,car (new),12841,unknown / no savings account,... >= 7 years,2,male,none,2,building society savings agreement / life insurance,32,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,56,all credits at this bank paid back duly,radio/television,3135,500 <= ... < 1000 DM,... >= 7 years,1,male,none,2,"car or other, not in savings account",27,stores,for free,1,unemployed / unskilled - non-resident,2,none,yes,2,single
0 <= ... < 200 DM,23,critical account / other credits existing (not at this bank),car (used),8482,... < 100 DM,4 <= ... < 7 years,4,male,none,2,"car or other, not in savings account",19,none,own,1,unemployed / unskilled - non-resident,2,none,yes,2,single
... < 0 DM,18,critical account / other credits existing (not at this bank),car (new),7545,... < 100 DM,... >= 7 years,4,male,guarantor,3,"car or other, not in savings account",19,stores,rent,2,unskilled - resident,2,"yes, registered under customer's name",yes,1,single
... < 0 DM,14,critical account / other credits existing (not at this bank),radio/television,9666,... < 100 DM,... >= 7 years,2,male,none,2,building society savings agreement / life insurance,34,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
no checking account,29,critical account / other credits existing (not at this bank),radio/television,9715,... < 100 DM,... < 1 year,1,male,none,1,building society savings agreement / life insurance,32,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
no checking account,11,all credits at this bank paid back duly,radio/television,3115,unknown / no savings account,4 <= ... < 7 years,2,female,none,4,building society savings agreement / life insurance,31,none,own,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,24,critical account / other credits existing (not at this bank),car (new),5453,... < 100 DM,... >= 7 years,2,male,none,3,"car or other, not in savings account",26,none,own,3,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,4,existing credits paid back duly till now,radio/television,1167,... < 100 DM,... < 1 year,4,male,none,4,"car or other, not in savings account",34,none,own,2,skilled employee / official,2,none,yes,1,single
... < 0 DM,12,existing credits paid back duly till now,car (new),250,unknown / no savings account,... < 1 year,4,male,guarantor,3,building society savings agreement / life insurance,35,none,own,2,unskilled - resident,1,none,yes,2,single
... < 0 DM,53,existing credits paid back duly till now,radio/television,250,unknown / no savings account,4 <= ... < 7 years,4,male,none,1,"car or other, not in savings account",19,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
... < 0 DM,14,existing credits paid back duly till now,business,7126,100 <= ... < 500 DM,... < 1 year,2,female,none,4,real estate,27,none,for free,1,skilled employee / official,2,none,yes,2,single
