checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
0 <= ... < 200 DM,26,delay in paying off in the past,repairs,3819,... >= 1000 DM,... < 1 year,4,female,none,3,unknown / no property,41,stores,rent,3,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,23,all credits at this bank paid back duly,repairs,4208,unknown / no savings account,unemployed,4,male,none,3,building society savings agreement / life insurance,40,none,own,3,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",no,2,single
... < 0 DM,21,no credits taken / all credits paid back duly,car (new),1021,unknown / no savings account,4 <= ... < 7 years,4,male,none,4,unknown / no property,75,bank,rent,2,skilled employee / official,2,none,yes,1,divorced/separated
0 <= ... < 200 DM,10,critical account / other credits existing (not at this bank),radio/television,8099,unknown / no savings account,1 <= ... < 4 years,4,male,none,4,"car or other, not in savings account",74,stores,for free,2,management / self-employed / highly qualified employee / officer,2,none,no,2,single
... < 0 DM,24,no credits taken / all credits paid back duly,radio/television,15593,100 <= ... < 500 DM,... < 1 year,4,male,guarantor,2,"car or other, not in savings account",54,none,for free,2,skilled employee / official,2,"yes, registered under customer's name",yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,66,existing credits paid back duly till now,education,8281,500 <= ... < 1000 DM,... < 1 year,1,female,none,4,real estate,53,bank,own,1,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",no,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,22,critical account / other credits existing (not at this bank),business,2076,... < 100 DM,... >= 7 years,4,male,co-applicant,2,real estate,37,bank,for free,2,skilled employee / official,2,none,yes,1,single
... >= 200 DM / salary assignments for at least 1 year,21,all credits at this bank paid back duly,radio/television,2847,100 <= ... < 500 DM,... < 1 year,4,male,co-applicant,2,building society savings agreement / life insurance,42,none,own,3,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,2,divorced/separated
0 <= ... < 200 DM,6,delay in paying off in the past,car (new),3766,100 <= ... < 500 DM,4 <= ... < 7 years,3,male,none,1,unknown / no property,20,bank,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,11561,unknown / no savings account,unemployed,2,male,none,3,"car or other, not in savings account",59,bank,own,4,management / self-employed / highly qualified employee / officer,1,none,yes,1,married/widowed
... >= 200 DM / salary assignments for at least 1 year,9,critical account / other credits existing (not at this bank),education,1316,100 <= ... < 500 DM,4 <= ... < 7 years,4,female,guarantor,3,building society savings agreement / life insurance,30,none,rent,3,management / self-employed / highly qualified employee / officer,1,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,24,delay in paying off in the past,car (new),5749,100 <= ... < 500 DM,... >= 7 years,2,male,none,4,unknown / no property,49,stores,rent,1,skilled employee / official,2,none,yes,1,single
... < 0 DM,26,delay in paying off in the past,education,15945,... >= 1000 DM,1 <= ... < 4 years,4,female,co-applicant,3,building society savings agreement / life insurance,34,none,own,1,skilled employee / official,1,"yes, registered under customer's name",no,1,single
... < 0 DM,9,all credits at this bank paid back duly,repairs,4752,unknown / no savings account,1 <= ... < 4 years,2,female,co-applicant,3,real estate,28,bank,own,1,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",yes,2,divorced/separated
0 <= ... < 200 DM,30,delay in paying off in the past,radio/television,6233,unknown / no savings account,4 <= ... < 7 years,2,male,none,1,unknown / no property,72,none,for free,3,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",yes,1,single
... < 0 DM,29,critical account / other credits existing (not at this bank),others,15945,unknown / no savings account,4 <= ... < 7 years,2,female,none,4,unknown / no property,30,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,2,divorced/separated
no checking account,15,all credits at this bank paid back duly,education,250,100 <= ... < 500 DM,... >= 7 years,1,male,none,2,unknown / no property,30,stores,rent,4,unskilled - resident,1,none,yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,37,critical account / other credits existing (not at this bank),repairs,2652,... < 100 DM,unemployed,4,male,guarantor,4,"car or other, not in savings account",44,none,own,1,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,2,single
... >= 200 DM / salary assignments for at least 1 year,24,all credits at this bank paid back duly,education,3091,... >= 1000 DM,... >= 7 years,2,female,none,4,unknown / no property,20,none,rent,2,unskilled - resident,2,none,yes,2,single
no checking account,9,critical account / other credits existing (not at this bank),radio/television,6515,... >= 1000 DM,4 <= ... < 7 years,4,male,none,4,"car or other, not in savings account",38,bank,for free,2,unskilled - resident,1,none,yes,1,married/widowed
0 <= ... < 200 DM,47,all credits at this bank paid back duly,retraining,10817,100 <= ... < 500 DM,unemployed,4,male,co-applicant,2,unknown / no property,51,stores,own,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
no checking account,15,all credits at this bank paid back duly,furniture/equipment,5212,... < 100 DM,... < 1 year,1,male,guarantor,3,real estate,46,stores,own,2,management / self-employed / highly qualified employee / officer,2,none,yes,1,married/widowed
... < 0 DM,9,critical account / other credits existing (not at this bank),car (used),1986,100 <= ... < 500 DM,unemployed,3,male,none,4,real estate,34,none,own,4,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",no,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,retraining,7806,... < 100 DM,1 <= ... < 4 years,1,male,guarantor,4,unknown / no property,33,bank,for free,1,skilled employee / official,1,none,no,1,married/widowed
... < 0 DM,17,critical account / other credits existing (not at this bank),car (new),1435,500 <= ... < 1000 DM,... < 1 year,4,female,none,3,real estate,25,bank,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,2,married/widowed
no checking account,10,critical account / other credits existing (not at this bank),repairs,4210,100 <= ... < 500 DM,... >= 7 years,4,female,co-applicant,3,building society savings agreement / life insurance,37,none,rent,4,management / self-employed / highly qualified employee / officer,2,none,no,2,single
0 <= ... < 200 DM,61,critical account / other credits existing (not at this bank),repairs,4455,... < 100 DM,4 <= ... < 7 years,2,male,none,4,real estate,36,stores,for free,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,25,delay in paying off in the past,car (used),15945,unknown / no savings account,unemployed,2,male,none,4,building society savings agreement / life insurance,43,bank,for free,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
no checking account,26,all credits at this bank paid back duly,car (new),1478,... >= 1000 DM,unemployed,2,female,co-applicant,1,unknown / no property,30,none,for free,3,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,24,critical account / other credits existing (not at this bank),retraining,2778,500 <= ... < 1000 DM,unemployed,1,female,none,3,"car or other, not in savings account",35,bank,own,1,unskilled - resident,2,"yes, registered under customer's name",yes,1,married/widowed
no checking account,15,delay in paying off in the past,business,2648,100 <= ... < 500 DM,... < 1 year,1,male,co-applicant,4,"car or other, not in savings account",29,stores,for free,3,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
no checking account,16,existing credits paid back duly till now,furniture/equipment,5963,unknown / no savings account,... >= 7 years,3,female,guarantor,4,real estate,29,none,rent,4,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,6,critical account / other credits existing (not at this bank),business,3662,100 <= ... < 500 DM,... >= 7 years,2,female,none,3,building society savings agreement / life insurance,37,none,rent,1,unskilled - resident,1,none,no,2,divorced/separated
... < 0 DM,24,all credits at this bank paid back duly,car (used),4676,... >= 1000 DM,... >= 7 years,2,female,guarantor,1,real estate,32,stores,for free,1,unemployed / unskilled - non-resident,1,none,yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,40,no credits taken / all credits paid back duly,car (new),4862,unknown / no savings account,4 <= ... < 7 years,4,male,guarantor,2,"car or other, not in savings account",40,bank,rent,2,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",no,1,married/widowed
... < 0 DM,36,existing credits paid back duly till now,education,15945,500 <= ... < 1000 DM,... < 1 year,2,male,none,3,"car or other, not in savings account",31,stores,for free,3,unemployed / unskilled - non-resident,2,none,yes,2,married/widowed
no checking account,27,delay in paying off in the past,furniture/equipment,4281,... >= 1000 DM,unemployed,4,male,none,4,"car or other, not in savings account",29,none,own,1,management / self-employed / highly qualified employee / officer,1,none,no,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,21,all credits at this bank paid back duly,car (used),1090,unknown / no savings account,... >= 7 years,4,male,none,1,"car or other, not in savings account",48,none,rent,1,unskilled - resident,2,"yes, registered under customer's name",yes,2,married/widowed
0 <= ... < 200 DM,22,no credits taken / all credits paid back duly,radio/television,5982,100 <= ... < 500 DM,unemployed,1,female,none,4,real estate,29,none,own,2,management / self-employed / highly qualified employee / officer,1,none,no,1,married/widowed
0 <= ... < 200 DM,28,all credits at this bank paid back duly,business,4433,... < 100 DM,4 <= ... < 7 years,1,male,none,2,"car or other, not in savings account",43,none,own,3,skilled employee / official,1,none,yes,2,divorced/separated
... < 0 DM,4,all credits at this bank paid back duly,car (new),2609,unknown / no savings account,1 <= ... < 4 years,1,male,none,4,real estate,38,none,for free,2,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,46,existing credits paid back duly till now,business,1272,unknown / no savings account,1 <= ... < 4 years,2,female,co-applicant,4,real estate,21,none,for free,2,skilled employee / official,2,"yes, registered under customer's name",yes,1,married/widowed
... >= 200 DM / salary assignments for at least 1 year,24,delay in paying off in the past,domestic appliances,8517,500 <= ... < 1000 DM,... >= 7 years,2,male,none,4,"car or other, not in savings account",19,none,for free,2,skilled employee / official,1,none,yes,2,single
0 <= ... < 200 DM,22,all credits at this bank paid back duly,domestic appliances,1909,unknown / no savings account,unemployed,3,male,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,7,critical account / other credits existing (not at this bank),education,10308,... >= 1000 DM,1 <= ... < 4 years,1,male,co-applicant,2,real estate,36,bank,rent,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,married/widowed
... < 0 DM,41,no credits taken / all credits paid back duly,retraining,4110,unknown / no savings account,4 <= ... < 7 years,1,male,guarantor,4,unknown / no property,41,bank,own,4,management / self-employed / highly qualified employee / officer,2,none,no,2,single
no checking account,24,no credits taken / all credits paid back duly,car (new),7116,unknown / no savings account,unemployed,3,male,none,4,building society savings agreement / life insurance,45,none,own,1,unskilled - resident,2,"yes, registered under customer's name",yes,2,divorced/separated
0 <= ... < 200 DM,44,no credits taken / all credits paid back duly,business,2325,500 <= ... < 1000 DM,... >= 7 years,4,male,none,4,unknown / no property,53,none,own,2,unemployed / unskilled - non-resident,1,none,no,1,married/widowed
0 <= ... < 200 DM,24,all credits at this bank paid back duly,education,2399,100 <= ... < 500 DM,1 <= ... < 4 years,2,female,none,4,"car or other, not in savings account",62,none,for free,4,unemployed / unskilled - non-resident,2,none,yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,4,all credits at this bank paid back duly,furniture/equipment,2169,500 <= ... < 1000 DM,... >= 7 years,1,female,guarantor,1,building society savings agreement / life insurance,29,stores,own,1,unskilled - resident,2,"yes, registered under customer's name",yes,2,single
... < 0 DM,22,all credits at this bank paid back duly,others,1543,unknown / no savings account,1 <= ... < 4 years,3,female,co-applicant,2,real estate,45,none,rent,2,unskilled - resident,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,45,all credits at this bank paid back duly,radio/television,10143,unknown / no savings account,unemployed,1,female,guarantor,1,building society savings agreement / life insurance,59,stores,for free,4,unskilled - resident,2,"yes, registered under customer's name",yes,1,single
... >= 200 DM / salary assignments for at least 1 year,11,existing credits paid back duly till now,business,4323,unknown / no savings account,unemployed,4,female,guarantor,4,building society savings agreement / life insurance,58,stores,for free,2,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
no checking account,23,existing credits paid back duly till now,others,3001,500 <= ... < 1000 DM,... < 1 year,3,male,none,2,real estate,43,stores,own,3,unemployed / unskilled - non-resident,2,none,no,2,single
... >= 200 DM / salary assignments for at least 1 year,4,no credits taken / all credits paid back duly,domestic appliances,10187,500 <= ... < 1000 DM,... < 1 year,4,male,none,4,"car or other, not in savings account",41,stores,own,4,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
no checking account,8,delay in paying off in the past,business,5112,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male,guarantor,1,unknown / no property,47,none,rent,1,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,35,critical account / other credits existing (not at this bank),domestic appliances,4088,100 <= ... < 500 DM,... >= 7 years,4,male,none,1,building society savings agreement / life insurance,21,stores,rent,4,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,2,single
... >= 200 DM / salary assignments for at least 1 year,14,no credits taken / all credits paid back duly,others,11138,... < 100 DM,4 <= ... < 7 years,1,female,co-applicant,4,real estate,41,none,for free,2,skilled employee / official,2,none,yes,2,single
... >= 200 DM / salary assignments for at least 1 year,21,no credits taken / all credits paid back duly,domestic appliances,6941,... < 100 DM,4 <= ... < 7 years,1,female,none,4,"car or other, not in savings account",35,bank,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,married/widowed
0 <= ... < 200 DM,25,delay in paying off in the past,business,15945,100 <= ... < 500 DM,1 <= ... < 4 years,2,male,none,2,building society savings agreement / life insurance,34,bank,own,3,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
... >= 200 DM / salary assignments for at least 1 year,23,no credits taken / all credits paid back duly,others,11772,... >= 1000 DM,unemployed,4,female,guarantor,3,"car or other, not in savings account",55,none,own,1,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,12,existing credits paid back duly till now,retraining,811,... < 100 DM,4 <= ... < 7 years,1,male,guarantor,4,unknown / no property,47,bank,own,2,unskilled - resident,1,none,no,1,single
