checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
A14,15,existing credits paid back duly till now,car (used),3812,A62,A72,1,female,none,4,"car or other, not in savings account",23,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
A11,30,existing credits paid back duly till now,furniture/equipment,6350,A65,A75,4,male,none,4,building society savings agreement / life insurance,31,none,own,1,skilled employee / official,1,none,yes,2,single
A11,24,all credits at this bank paid back duly,others,1358,A65,A75,4,male,none,3,"car or other, not in savings account",40,stores,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
A14,9,existing credits paid back duly till now,car (new),2507,A63,A75,2,male,none,4,unknown / no property,51,none,for free,1,unskilled - resident,1,none,yes,1,single
A12,15,critical account / other credits existing (not at this bank),radio/television,1537,A65,A75,4,male,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
A13,12,existing credits paid back duly till now,radio/television,3016,A61,A73,3,male,none,1,"car or other, not in savings account",24,none,own,1,skilled employee / official,1,none,yes,1,married/widowed
A11,24,existing credits paid back duly till now,radio/television,1987,A61,A73,2,male,none,4,real estate,21,none,rent,1,unskilled - resident,2,none,yes,2,single
A14,48,all credits at this bank paid back duly,business,3609,A61,A73,1,female,none,1,real estate,27,stores,own,1,skilled employee / official,1,none,yes,1,divorced/separated
A13,15,existing credits paid back duly till now,education,392,A61,A72,4,female,none,4,building society savings agreement / life insurance,23,none,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
A13,9,existing credits paid back duly till now,radio/television,745,A61,A73,3,female,none,2,real estate,28,none,own,1,unskilled - resident,1,none,yes,2,divorced/separated
A12,12,existing credits paid back duly till now,radio/television,1092,A61,A73,4,female,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
A12,12,existing credits paid back duly till now,radio/television,1534,A61,A72,1,male,none,1,real estate,23,none,rent,1,skilled employee / official,1,none,yes,2,married/widowed
A14,18,existing credits paid back duly till now,car (new),2662,A65,A74,4,male,none,3,building society savings agreement / life insurance,32,none,own,1,skilled employee / official,1,none,no,1,single
A11,24,all credits at this bank paid back duly,furniture/equipment,3552,A61,A74,3,male,none,4,"car or other, not in savings account",27,bank,own,1,skilled employee / official,1,none,yes,2,single
A12,24,existing credits paid back duly till now,radio/television,5084,A65,A75,2,female,none,4,"car or other, not in savings account",42,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
A11,12,existing credits paid back duly till now,furniture/equipment,1282,A61,A73,2,female,none,4,"car or other, not in savings account",20,none,rent,1,skilled employee / official,1,none,yes,2,divorced/separated
A12,10,existing credits paid back duly till now,car (new),7308,A61,A71,2,male,none,4,unknown / no property,70,bank,for free,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
A12,60,existing credits paid back duly till now,education,6288,A61,A73,4,male,none,4,unknown / no property,42,none,for free,1,skilled employee / official,1,none,yes,2,single
A14,24,critical account / other credits existing (not at this bank),car (used),5804,A64,A73,4,male,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,1,single
A12,12,existing credits paid back duly till now,business,841,A62,A74,2,female,none,4,real estate,23,none,rent,1,unskilled - resident,1,none,yes,1,divorced/separated
A14,24,critical account / other credits existing (not at this bank),radio/television,2872,A62,A75,3,male,none,4,real estate,36,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
A12,36,existing credits paid back duly till now,repairs,2384,A61,A72,4,male,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,none,yes,2,single
A14,6,critical account / other credits existing (not at this bank),furniture/equipment,1221,A65,A73,1,male,none,2,building society savings agreement / life insurance,27,none,own,2,skilled employee / official,1,none,yes,1,married/widowed
A11,15,delay in paying off in the past,furniture/equipment,3643,A61,A75,1,female,none,4,building society savings agreement / life insurance,27,none,own,2,unskilled - resident,1,none,yes,1,divorced/separated
