checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
no checking account,7,delay in paying off in the past,radio/television,3402,... < 100 DM,... >= 7 years,4,male,none,4,unknown / no property,75,bank,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
no checking account,6,existing credits paid back duly till now,car (new),2625,unknown / no savings account,4 <= ... < 7 years,4,male,none,2,real estate,23,none,rent,4,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
... >= 200 DM / salary assignments for at least 1 year,20,critical account / other credits existing (not at this bank),radio/television,8381,100 <= ... < 500 DM,... >= 7 years,4,male,none,1,real estate,28,none,rent,1,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,4,critical account / other credits existing (not at this bank),car (used),3164,100 <= ... < 500 DM,... >= 7 years,4,male,none,2,real estate,41,none,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,2,divorced/separated
no checking account,17,existing credits paid back duly till now,radio/television,9763,... >= 1000 DM,... >= 7 years,1,female,co-applicant,4,real estate,25,none,own,2,unemployed / unskilled - non-resident,1,none,yes,1,single
0 <= ... < 200 DM,4,existing credits paid back duly till now,furniture/equipment,7440,... < 100 DM,... >= 7 years,4,male,none,4,"car or other, not in savings account",38,none,for free,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,3967,... >= 1000 DM,... >= 7 years,4,female,none,2,real estate,19,bank,rent,2,management / self-employed / highly qualified employee / officer,2,none,yes,1,single
no checking account,4,critical account / other credits existing (not at this bank),business,11452,unknown / no savings account,1 <= ... < 4 years,4,male,none,4,unknown / no property,36,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
... >= 200 DM / salary assignments for at least 1 year,35,no credits taken / all credits paid back duly,car (used),12949,... >= 1000 DM,... < 1 year,4,male,none,1,unknown / no property,57,none,own,2,skilled employee / official,1,none,yes,1,married/widowed
... < 0 DM,4,critical account / other credits existing (not at this bank),car (new),2284,... >= 1000 DM,... >= 7 years,4,male,none,2,unknown / no property,26,bank,own,1,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",yes,1,single
no checking account,4,existing credits paid back duly till now,business,15945,unknown / no savings account,... >= 7 years,2,male,none,2,building society savings agreement / life insurance,19,bank,for free,2,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,24,critical account / other credits existing (not at this bank),furniture/equipment,9656,unknown / no savings account,... >= 7 years,4,male,none,4,"car or other, not in savings account",30,bank,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
no checking account,4,critical account / other credits existing (not at this bank),education,2586,... < 100 DM,1 <= ... < 4 years,4,male,none,2,real estate,23,none,own,2,skilled employee / official,1,none,yes,1,single
no checking account,41,existing credits paid back duly till now,business,6474,unknown / no savings account,unemployed,4,male,none,4,building society savings agreement / life insurance,35,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
no checking account,17,existing credits paid back duly till now,furniture/equipment,2722,... < 100 DM,... >= 7 years,3,male,none,4,building society savings agreement / life insurance,29,stores,for free,2,skilled employee / official,1,none,yes,2,single
0 <= ... < 200 DM,4,critical account / other credits existing (not at this bank),business,15945,... < 100 DM,... >= 7 years,4,male,none,1,"car or other, not in savings account",22,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,married/widowed
... < 0 DM,11,critical account / other credits existing (not at this bank),others,5644,... < 100 DM,unemployed,4,female,none,2,unknown / no property,35,bank,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
