checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,furniture/equipment,1991,... < 100 DM,... < 1 year,3,male,none,3,"car or other, not in savings account",36,none,own,1,skilled employee / official,1,"yes, registered under customer's name",no,1,single
0 <= ... < 200 DM,31,critical account / other credits existing (not at this bank),car (new),15945,... < 100 DM,... < 1 year,4,male,none,2,"car or other, not in savings account",48,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,14,existing credits paid back duly till now,business,3303,... < 100 DM,1 <= ... < 4 years,4,male,none,2,real estate,53,none,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,8,no credits taken / all credits paid back duly,domestic appliances,2612,... < 100 DM,... >= 7 years,4,male,co-applicant,2,"car or other, not in savings account",20,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,25,existing credits paid back duly till now,repairs,873,... < 100 DM,4 <= ... < 7 years,3,male,none,3,"car or other, not in savings account",23,none,own,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,13,existing credits paid back duly till now,others,1076,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,none,1,real estate,40,none,own,1,skilled employee / official,1,none,yes,1,single
no checking account,28,critical account / other credits existing (not at this bank),radio/television,250,... < 100 DM,unemployed,2,male,co-applicant,3,real estate,30,stores,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,2,single
... >= 200 DM / salary assignments for at least 1 year,27,no credits taken / all credits paid back duly,radio/television,1519,... >= 1000 DM,4 <= ... < 7 years,2,female,co-applicant,3,real estate,42,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,16,existing credits paid back duly till now,education,1270,... < 100 DM,1 <= ... < 4 years,4,male,none,2,building society savings agreement / life insurance,33,none,rent,2,unskilled - resident,1,none,yes,1,divorced/separated
... < 0 DM,24,existing credits paid back duly till now,domestic appliances,3002,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,none,1,"car or other, not in savings account",49,none,own,1,skilled employee / official,1,none,yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),4644,... >= 1000 DM,... >= 7 years,4,female,none,2,real estate,69,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
no checking account,20,existing credits paid back duly till now,car (used),1732,... >= 1000 DM,unemployed,4,male,none,4,real estate,25,stores,own,1,skilled employee / official,1,none,yes,1,single
