checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
0 <= ... < 200 DM,24,delay in paying off in the past,education,4254,... >= 1000 DM,... >= 7 years,4,female,none,2,real estate,44,none,for free,2,unskilled - resident,1,"yes, registered under customer's name",no,1,married/widowed
... >= 200 DM / salary assignments for at least 1 year,21,all credits at this bank paid back duly,repairs,3557,unknown / no savings account,unemployed,4,male,none,4,building society savings agreement / life insurance,39,none,own,2,skilled employee / official,1,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,19,delay in paying off in the past,retraining,3530,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male,guarantor,1,unknown / no property,39,bank,own,2,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,8,critical account / other credits existing (not at this bank),radio/television,7818,unknown / no savings account,1 <= ... < 4 years,1,male,none,4,"car or other, not in savings account",52,stores,for free,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,23,no credits taken / all credits paid back duly,radio/television,15945,100 <= ... < 500 DM,4 <= ... < 7 years,4,male,guarantor,1,"car or other, not in savings account",50,none,rent,2,skilled employee / official,2,none,yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,11,existing credits paid back duly till now,education,6144,500 <= ... < 1000 DM,... < 1 year,2,female,none,4,"car or other, not in savings account",71,bank,rent,1,management / self-employed / highly qualified employee / officer,2,none,no,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,21,critical account / other credits existing (not at this bank),business,1183,... < 100 DM,... >= 7 years,4,male,co-applicant,1,real estate,43,bank,for free,1,skilled employee / official,2,none,yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,24,all credits at this bank paid back duly,radio/television,4277,100 <= ... < 500 DM,... < 1 year,4,male,co-applicant,2,building society savings agreement / life insurance,27,none,rent,2,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,4,existing credits paid back duly till now,others,6100,100 <= ... < 500 DM,4 <= ... < 7 years,3,female,none,3,"car or other, not in savings account",28,stores,own,2,unskilled - resident,2,none,yes,2,married/widowed
0 <= ... < 200 DM,23,existing credits paid back duly till now,radio/television,7040,unknown / no savings account,1 <= ... < 4 years,2,male,none,2,"car or other, not in savings account",21,bank,own,2,unskilled - resident,1,"yes, registered under customer's name",yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,education,5525,100 <= ... < 500 DM,4 <= ... < 7 years,2,female,co-applicant,2,unknown / no property,42,stores,own,4,skilled employee / official,1,none,yes,1,single
... < 0 DM,21,delay in paying off in the past,car (new),5241,100 <= ... < 500 DM,... >= 7 years,1,male,none,4,unknown / no property,38,stores,rent,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",no,1,single
... < 0 DM,39,no credits taken / all credits paid back duly,education,15945,100 <= ... < 500 DM,1 <= ... < 4 years,4,female,co-applicant,2,real estate,21,none,own,2,unskilled - resident,1,"yes, registered under customer's name",no,1,single
... < 0 DM,16,all credits at this bank paid back duly,repairs,5860,... < 100 DM,1 <= ... < 4 years,2,male,co-applicant,2,real estate,52,stores,for free,3,unemployed / unskilled - non-resident,1,none,no,1,married/widowed
0 <= ... < 200 DM,43,delay in paying off in the past,radio/television,2893,unknown / no savings account,4 <= ... < 7 years,2,male,co-applicant,3,unknown / no property,36,none,for free,2,unskilled - resident,1,none,yes,2,single
... < 0 DM,4,existing credits paid back duly till now,others,15945,unknown / no savings account,... >= 7 years,2,female,none,4,unknown / no property,41,none,own,2,unskilled - resident,2,none,yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,14,all credits at this bank paid back duly,repairs,1683,100 <= ... < 500 DM,... >= 7 years,1,male,none,1,real estate,22,stores,own,1,skilled employee / official,1,none,no,1,married/widowed
... >= 200 DM / salary assignments for at least 1 year,28,critical account / other credits existing (not at this bank),repairs,2517,... < 100 DM,unemployed,3,male,guarantor,4,"car or other, not in savings account",19,none,own,4,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,22,all credits at this bank paid back duly,education,2371,... < 100 DM,... >= 7 years,2,female,none,4,unknown / no property,75,none,rent,2,unskilled - resident,2,none,yes,1,divorced/separated
0 <= ... < 200 DM,17,all credits at this bank paid back duly,radio/television,7933,... >= 1000 DM,4 <= ... < 7 years,4,male,guarantor,4,"car or other, not in savings account",46,bank,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,married/widowed
0 <= ... < 200 DM,38,all credits at this bank paid back duly,retraining,6882,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,guarantor,3,unknown / no property,34,stores,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
no checking account,4,existing credits paid back duly till now,furniture/equipment,4818,100 <= ... < 500 DM,... < 1 year,2,male,guarantor,2,unknown / no property,57,none,own,1,skilled employee / official,1,none,no,2,married/widowed
... < 0 DM,20,critical account / other credits existing (not at this bank),repairs,6627,100 <= ... < 500 DM,... >= 7 years,3,male,none,4,real estate,19,none,own,1,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,1,single
no checking account,48,existing credits paid back duly till now,retraining,15945,... < 100 DM,1 <= ... < 4 years,1,male,guarantor,4,unknown / no property,28,bank,rent,1,skilled employee / official,2,none,yes,1,divorced/separated
... < 0 DM,4,critical account / other credits existing (not at this bank),car (new),316,500 <= ... < 1000 DM,... < 1 year,4,male,none,2,real estate,41,bank,own,4,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",no,2,married/widowed
no checking account,13,critical account / other credits existing (not at this bank),repairs,2946,100 <= ... < 500 DM,... < 1 year,2,female,guarantor,2,building society savings agreement / life insurance,27,bank,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,30,all credits at this bank paid back duly,repairs,6751,... < 100 DM,4 <= ... < 7 years,2,male,none,4,real estate,21,stores,for free,2,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",no,2,single
... < 0 DM,23,delay in paying off in the past,car (used),15862,unknown / no savings account,... >= 7 years,4,female,none,2,building society savings agreement / life insurance,37,bank,for free,2,unemployed / unskilled - non-resident,1,none,yes,2,single
no checking account,23,all credits at this bank paid back duly,car (new),1753,... < 100 DM,unemployed,2,female,co-applicant,3,unknown / no property,19,bank,for free,2,unemployed / unskilled - non-resident,2,none,no,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,retraining,2184,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male,none,2,"car or other, not in savings account",27,bank,own,4,skilled employee / official,1,none,no,2,single
no checking account,4,delay in paying off in the past,business,2568,... < 100 DM,... < 1 year,2,male,co-applicant,4,"car or other, not in savings account",29,stores,for free,2,skilled employee / official,2,none,yes,1,single
no checking account,24,existing credits paid back duly till now,furniture/equipment,2357,unknown / no savings account,... >= 7 years,3,female,guarantor,4,unknown / no property,19,none,rent,1,unskilled - resident,1,none,no,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,8,critical account / other credits existing (not at this bank),business,3997,100 <= ... < 500 DM,... >= 7 years,2,male,none,4,building society savings agreement / life insurance,29,none,rent,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,22,all credits at this bank paid back duly,car (used),250,... >= 1000 DM,... >= 7 years,2,female,guarantor,3,real estate,35,stores,for free,1,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",yes,1,married/widowed
... >= 200 DM / salary assignments for at least 1 year,9,no credits taken / all credits paid back duly,car (new),9837,unknown / no savings account,4 <= ... < 7 years,2,male,guarantor,1,"car or other, not in savings account",19,bank,rent,1,skilled employee / official,2,none,yes,2,single
... < 0 DM,21,existing credits paid back duly till now,education,3309,100 <= ... < 500 DM,... < 1 year,2,male,none,2,"car or other, not in savings account",39,stores,rent,2,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,2,divorced/separated
no checking account,5,no credits taken / all credits paid back duly,furniture/equipment,4345,... < 100 DM,unemployed,2,male,none,4,building society savings agreement / life insurance,30,none,own,2,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,25,all credits at this bank paid back duly,car (used),1987,unknown / no savings account,1 <= ... < 4 years,3,male,guarantor,3,real estate,51,stores,for free,1,unskilled - resident,1,"yes, registered under customer's name",yes,1,married/widowed
... < 0 DM,21,no credits taken / all credits paid back duly,furniture/equipment,9803,unknown / no savings account,unemployed,1,female,none,2,real estate,50,stores,rent,2,management / self-employed / highly qualified employee / officer,2,none,yes,1,married/widowed
... < 0 DM,20,existing credits paid back duly till now,furniture/equipment,4732,... < 100 DM,4 <= ... < 7 years,1,male,none,1,"car or other, not in savings account",48,stores,own,2,skilled employee / official,1,"yes, registered under customer's name",no,2,single
... < 0 DM,7,all credits at this bank paid back duly,car (new),2113,unknown / no savings account,1 <= ... < 4 years,1,male,none,1,real estate,32,none,for free,4,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",no,2,single
0 <= ... < 200 DM,41,existing credits paid back duly till now,education,2229,unknown / no savings account,1 <= ... < 4 years,4,female,co-applicant,4,real estate,46,none,for free,2,unskilled - resident,1,none,yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,26,delay in paying off in the past,others,15945,... < 100 DM,... >= 7 years,2,female,none,4,unknown / no property,32,bank,for free,1,skilled employee / official,2,none,yes,1,single
0 <= ... < 200 DM,21,existing credits paid back duly till now,car (used),2088,unknown / no savings account,unemployed,3,male,none,4,unknown / no property,43,none,rent,2,skilled employee / official,1,none,yes,2,married/widowed
no checking account,4,all credits at this bank paid back duly,education,3472,... >= 1000 DM,1 <= ... < 4 years,1,male,guarantor,3,real estate,26,bank,own,1,skilled employee / official,1,none,no,1,single
... < 0 DM,34,no credits taken / all credits paid back duly,retraining,1199,unknown / no savings account,... >= 7 years,1,male,guarantor,4,"car or other, not in savings account",29,bank,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,24,no credits taken / all credits paid back duly,car (new),250,... < 100 DM,1 <= ... < 4 years,3,male,none,3,real estate,46,none,own,2,unskilled - resident,1,none,yes,1,married/widowed
0 <= ... < 200 DM,18,no credits taken / all credits paid back duly,domestic appliances,2186,500 <= ... < 1000 DM,... >= 7 years,3,male,none,4,"car or other, not in savings account",30,none,own,1,unskilled - resident,1,"yes, registered under customer's name",no,1,married/widowed
... >= 200 DM / salary assignments for at least 1 year,26,all credits at this bank paid back duly,education,5180,500 <= ... < 1000 DM,4 <= ... < 7 years,2,female,none,4,"car or other, not in savings account",49,none,for free,2,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,1,single
... >= 200 DM / salary assignments for at least 1 year,4,delay in paying off in the past,car (new),1611,unknown / no savings account,... >= 7 years,1,male,guarantor,3,building society savings agreement / life insurance,19,none,own,4,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",no,2,married/widowed
... < 0 DM,4,all credits at this bank paid back duly,others,1835,unknown / no savings account,1 <= ... < 4 years,3,female,co-applicant,2,real estate,24,none,rent,3,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,2,married/widowed
0 <= ... < 200 DM,22,all credits at this bank paid back duly,radio/television,2446,unknown / no savings account,... >= 7 years,4,male,guarantor,3,unknown / no property,25,stores,for free,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,divorced/separated
... < 0 DM,23,existing credits paid back duly till now,furniture/equipment,5605,unknown / no savings account,unemployed,4,female,guarantor,3,"car or other, not in savings account",27,none,for free,3,unskilled - resident,2,"yes, registered under customer's name",yes,1,single
no checking account,28,existing credits paid back duly till now,retraining,3323,... < 100 DM,... < 1 year,3,male,none,1,real estate,33,stores,own,1,unskilled - resident,1,none,yes,1,single
... >= 200 DM / salary assignments for at least 1 year,59,no credits taken / all credits paid back duly,retraining,4094,500 <= ... < 1000 DM,... < 1 year,4,male,none,4,"car or other, not in savings account",23,stores,rent,2,skilled employee / official,1,none,no,1,married/widowed
no checking account,13,existing credits paid back duly till now,business,2631,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male,guarantor,1,unknown / no property,59,none,own,1,unemployed / unskilled - non-resident,1,none,yes,1,single
... < 0 DM,6,critical account / other credits existing (not at this bank),domestic appliances,2525,100 <= ... < 500 DM,... >= 7 years,4,male,none,3,building society savings agreement / life insurance,37,stores,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
... >= 200 DM / salary assignments for at least 1 year,4,no credits taken / all credits paid back duly,others,2586,... < 100 DM,4 <= ... < 7 years,1,male,guarantor,2,real estate,49,bank,for free,4,unemployed / unskilled - non-resident,2,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,21,no credits taken / all credits paid back duly,domestic appliances,9407,... < 100 DM,4 <= ... < 7 years,1,female,none,4,"car or other, not in savings account",23,bank,own,4,management / self-employed / highly qualified employee / officer,1,none,yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,22,delay in paying off in the past,business,15478,unknown / no savings account,4 <= ... < 7 years,2,male,none,4,building society savings agreement / life insurance,21,bank,own,2,management / self-employed / highly qualified employee / officer,2,none,yes,2,single
