checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
no checking account,21,no credits taken / all credits paid back duly,car (new),2697,unknown / no savings account,... >= 7 years,4,male,none,2,"car or other, not in savings account",24,none,own,1,unskilled - resident,2,"yes, registered under customer's name",yes,1,married/widowed
0 <= ... < 200 DM,4,delay in paying off in the past,car (new),9104,100 <= ... < 500 DM,... < 1 year,4,female,none,3,unknown / no property,34,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,28,critical account / other credits existing (not at this bank),radio/television,3111,... < 100 DM,4 <= ... < 7 years,4,male,none,2,building society savings agreement / life insurance,23,none,own,2,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,4,no credits taken / all credits paid back duly,radio/television,2885,500 <= ... < 1000 DM,... >= 7 years,4,male,none,4,real estate,31,bank,own,1,skilled employee / official,2,none,yes,1,divorced/separated
no checking account,17,all credits at this bank paid back duly,business,5162,... >= 1000 DM,... >= 7 years,4,female,none,4,"car or other, not in savings account",35,none,own,4,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,9,all credits at this bank paid back duly,furniture/equipment,1963,unknown / no savings account,... >= 7 years,4,male,none,2,unknown / no property,31,none,rent,1,skilled employee / official,2,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,37,critical account / other credits existing (not at this bank),car (new),3316,... < 100 DM,1 <= ... < 4 years,4,male,none,4,"car or other, not in savings account",19,none,for free,4,unskilled - resident,2,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,35,existing credits paid back duly till now,car (new),1978,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,none,4,"car or other, not in savings account",19,none,own,4,skilled employee / official,2,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,24,critical account / other credits existing (not at this bank),furniture/equipment,1216,... < 100 DM,unemployed,2,male,none,4,unknown / no property,19,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
no checking account,8,delay in paying off in the past,car (new),2800,... < 100 DM,unemployed,4,male,none,4,real estate,62,bank,rent,4,management / self-employed / highly qualified employee / officer,1,none,yes,2,divorced/separated
