checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
no checking account,14,existing credits paid back duly till now,domestic appliances,1303,... < 100 DM,unemployed,1,male,none,2,building society savings agreement / life insurance,38,stores,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
no checking account,69,critical account / other credits existing (not at this bank),repairs,1654,... < 100 DM,1 <= ... < 4 years,1,female,none,4,"car or other, not in savings account",44,none,rent,1,management / self-employed / highly qualified employee / officer,1,none,yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,10,critical account / other credits existing (not at this bank),car (used),1231,... < 100 DM,... >= 7 years,4,male,guarantor,4,real estate,19,none,own,1,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,21,existing credits paid back duly till now,business,5674,100 <= ... < 500 DM,1 <= ... < 4 years,3,male,none,4,"car or other, not in savings account",30,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,9,delay in paying off in the past,education,2317,... < 100 DM,4 <= ... < 7 years,4,male,none,4,"car or other, not in savings account",28,none,for free,4,unemployed / unskilled - non-resident,1,none,no,1,single
... < 0 DM,25,existing credits paid back duly till now,repairs,5914,... < 100 DM,... >= 7 years,4,female,none,2,"car or other, not in savings account",43,none,own,4,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
... >= 200 DM / salary assignments for at least 1 year,22,no credits taken / all credits paid back duly,furniture/equipment,1710,100 <= ... < 500 DM,... < 1 year,4,male,none,2,real estate,60,none,own,1,skilled employee / official,1,none,yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,4,critical account / other credits existing (not at this bank),furniture/equipment,366,... < 100 DM,unemployed,2,female,none,4,real estate,40,none,own,4,unemployed / unskilled - non-resident,1,none,no,1,single
... < 0 DM,14,delay in paying off in the past,furniture/equipment,4790,... < 100 DM,1 <= ... < 4 years,2,male,guarantor,2,"car or other, not in savings account",33,bank,own,1,management / self-employed / highly qualified employee / officer,1,none,no,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,23,critical account / other credits existing (not at this bank),radio/television,1965,... < 100 DM,... >= 7 years,2,male,none,3,"car or other, not in savings account",27,bank,own,1,unemployed / unskilled - non-resident,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,21,existing credits paid back duly till now,car (new),1424,... < 100 DM,... < 1 year,4,male,none,2,building society savings agreement / life insurance,40,none,own,2,skilled employee / official,1,none,yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,5,delay in paying off in the past,radio/television,545,unknown / no savings account,... >= 7 years,4,male,none,1,building society savings agreement / life insurance,54,stores,rent,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
