checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
no checking account,25,existing credits paid back duly till now,education,993,... < 100 DM,1 <= ... < 4 years,4,female,none,2,unknown / no property,21,bank,own,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,7,existing credits paid back duly till now,car (new),1228,unknown / no savings account,1 <= ... < 4 years,2,female,co-applicant,2,real estate,26,none,rent,2,skilled employee / official,2,"yes, registered under customer's name",yes,2,single
... < 0 DM,12,no credits taken / all credits paid back duly,radio/television,3999,... < 100 DM,... >= 7 years,1,male,none,1,real estate,46,none,own,1,skilled employee / official,2,none,yes,2,divorced/separated
... < 0 DM,7,critical account / other credits existing (not at this bank),car (new),4686,... < 100 DM,1 <= ... < 4 years,4,male,none,2,"car or other, not in savings account",45,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,2,divorced/separated
no checking account,4,existing credits paid back duly till now,radio/television,366,... < 100 DM,4 <= ... < 7 years,2,female,none,4,"car or other, not in savings account",29,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,2873,... < 100 DM,... >= 7 years,4,female,none,4,"car or other, not in savings account",71,none,for free,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,4,existing credits paid back duly till now,business,818,... >= 1000 DM,... < 1 year,4,female,none,2,"car or other, not in savings account",35,none,own,2,skilled employee / official,2,none,yes,1,single
no checking account,10,critical account / other credits existing (not at this bank),furniture/equipment,5462,unknown / no savings account,1 <= ... < 4 years,3,female,none,4,real estate,35,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
0 <= ... < 200 DM,23,no credits taken / all credits paid back duly,furniture/equipment,1937,... >= 1000 DM,unemployed,2,male,none,1,"car or other, not in savings account",33,none,own,1,skilled employee / official,1,none,yes,1,single
... < 0 DM,21,existing credits paid back duly till now,car (new),3983,... >= 1000 DM,4 <= ... < 7 years,4,male,none,2,unknown / no property,35,bank,own,1,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,250,unknown / no savings account,1 <= ... < 4 years,2,male,none,2,building society savings agreement / life insurance,44,none,for free,2,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,20,critical account / other credits existing (not at this bank),furniture/equipment,2229,unknown / no savings account,4 <= ... < 7 years,3,male,none,4,"car or other, not in savings account",28,none,own,1,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,9,existing credits paid back duly till now,education,1852,... < 100 DM,1 <= ... < 4 years,3,male,none,2,real estate,31,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
